student_id,attendance,assignment_score,midterm_score,study_hours,previous_grade,quiz_scores,participation,sleep_hours,risk_label
S359,82.6,63.1,82.7,4.4,78.6,81.0,57.1,6.3,0
S251,88.5,94.0,78.6,2.9,71.2,64.9,84.8,6.4,0
S120,66.3,52.3,35.9,1.3,64.8,32.0,52.8,6.6,1
S311,66.1,73.7,90.4,4.6,71.0,65.9,65.8,6.0,0
S300,78.3,79.3,62.0,4.4,73.5,63.0,63.4,6.0,0
S256,89.2,59.2,77.3,5.8,82.7,75.6,77.6,5.0,0
S355,73.9,73.9,84.1,3.0,72.1,62.5,59.4,6.6,0
S400,100.0,74.5,59.0,3.4,74.9,53.4,56.8,7.4,0
S226,85.1,61.8,76.5,4.6,91.6,90.2,77.9,7.6,0
S354,74.7,78.7,50.0,4.5,76.9,84.8,50.0,5.9,0
S235,88.7,75.8,79.2,4.3,80.2,70.1,96.6,7.8,0
S383,98.2,70.3,67.0,3.9,62.7,61.3,73.5,5.2,0
S275,87.9,76.7,52.3,4.4,77.0,70.6,67.0,5.2,0
S037,58.1,61.6,48.8,3.2,55.1,47.8,55.5,5.6,1
S197,92.7,84.8,86.8,2.9,68.9,83.6,57.7,6.4,0
S140,36.5,63.7,56.3,0.9,49.4,65.0,25.5,6.9,1
S365,82.9,57.0,80.2,2.9,77.8,79.4,70.1,6.6,0
S245,86.4,77.1,69.7,3.4,72.0,63.4,65.6,6.0,0
S440,95.0,79.3,80.0,4.5,86.2,69.1,80.3,6.2,0
S287,80.1,63.6,75.0,3.5,67.6,81.5,94.8,7.3,0
S060,69.6,65.0,51.2,1.6,60.4,50.7,65.0,4.6,1
S112,54.6,46.2,44.5,2.2,46.7,64.5,65.0,4.8,1
S090,62.7,45.0,43.2,3.5,32.1,43.8,50.5,5.5,1
S437,80.8,82.3,93.5,4.2,67.9,68.7,73.3,8.2,0
S007,75.0,37.7,43.7,0.2,36.6,38.1,39.6,3.9,1
S361,88.9,92.3,80.8,2.8,69.0,83.8,91.1,6.5,0
S347,69.5,72.4,64.2,2.3,78.6,79.1,50.0,8.1,0
S339,90.8,70.3,66.6,2.5,80.8,80.9,51.0,6.0,0
S159,37.1,39.9,44.7,1.9,45.4,53.4,19.0,4.8,1
S151,58.8,33.4,57.0,0.9,44.5,50.7,41.9,5.2,1
S178,93.9,83.1,64.1,2.4,94.1,76.5,77.1,6.8,0
S394,77.7,71.6,65.9,4.1,75.0,82.6,74.7,5.1,0
S185,79.5,83.0,74.3,4.0,89.6,72.6,60.2,7.6,0
S450,98.2,67.6,71.9,5.1,83.1,83.4,94.8,5.7,0
S011,48.0,56.6,51.3,1.5,54.5,65.0,51.6,7.0,1
S381,72.5,62.7,76.4,4.4,81.5,67.8,71.6,7.3,0
S104,43.0,48.8,51.1,1.5,46.5,24.4,20.2,4.0,1
S082,60.4,63.2,15.5,0.9,36.0,49.5,46.3,5.5,1
S039,35.1,55.8,57.3,1.2,65.0,65.0,36.1,4.4,1
S315,60.0,88.0,79.1,3.8,72.4,60.5,52.8,5.7,0
S168,75.0,50.9,30.3,0.6,56.0,59.0,44.2,7.0,1
S470,83.3,62.6,50.0,4.8,64.5,95.2,62.3,8.3,0
S297,87.8,87.7,71.1,3.7,82.5,64.9,71.0,6.8,0
S475,83.8,55.0,67.3,2.8,72.4,83.0,66.8,7.4,0
S199,73.6,76.9,74.4,4.2,88.8,76.3,93.7,7.9,0
S298,79.7,66.3,68.2,3.7,73.5,64.9,72.6,7.2,0
S417,96.1,73.0,83.7,3.1,69.3,63.2,79.2,6.9,0
S147,36.4,55.1,29.5,0.0,55.5,37.5,39.7,7.0,1
S393,74.5,77.7,75.8,3.9,80.7,55.3,84.9,6.2,0
S148,35.2,38.2,41.3,1.2,65.0,44.7,48.3,3.9,1
S448,78.1,66.2,77.5,2.3,60.3,62.5,50.0,7.4,0
S288,74.8,76.1,78.0,3.9,91.4,61.8,73.9,6.1,0
S124,34.0,57.8,63.1,1.3,47.6,37.6,39.1,3.9,1
S369,91.0,73.3,53.2,5.0,76.2,64.6,59.1,7.1,0
S097,59.4,30.8,49.1,1.9,51.5,36.1,23.6,6.1,1
S144,57.8,51.9,31.9,0.0,56.6,40.8,44.8,5.0,1
S240,76.2,88.4,80.9,2.1,76.5,73.4,65.4,5.7,0
S443,77.0,86.9,64.6,3.0,68.3,84.8,68.6,6.4,0
S098,58.9,62.0,30.8,3.0,60.2,55.9,18.4,5.4,1
S408,75.6,100.0,86.3,2.0,65.1,64.9,95.0,5.6,0
S123,75.0,51.7,22.8,1.5,65.0,53.3,41.6,6.6,1
S184,78.8,72.0,75.2,3.9,70.5,62.2,77.5,8.2,0
S203,71.0,68.5,86.4,3.3,87.4,69.1,60.4,6.1,0
S247,75.9,71.8,81.4,4.4,66.5,82.4,71.1,5.0,0
S306,83.4,68.3,69.7,3.0,57.0,55.7,68.4,7.5,0
S299,72.4,84.7,73.8,4.9,59.9,70.9,59.3,6.0,0
S352,65.8,71.7,89.0,2.0,64.6,76.3,69.6,7.5,0
S387,66.4,77.5,76.9,2.4,77.6,82.1,62.9,5.0,0
S396,83.1,71.3,76.2,2.0,66.8,79.7,68.4,8.0,0
S285,96.8,68.9,78.7,3.3,68.5,72.4,57.9,7.5,0
S126,75.0,38.1,40.5,3.0,65.0,63.2,35.8,4.1,1
S303,97.4,63.1,74.2,3.6,73.4,50.0,50.0,5.8,0
S224,94.4,76.9,53.4,3.9,77.9,88.3,99.3,5.2,0
S419,86.5,73.1,62.3,4.5,72.1,74.3,54.2,7.9,0
S220,86.0,80.5,84.5,2.4,55.0,78.9,95.7,6.9,0
S130,47.4,47.7,59.7,3.6,48.6,54.1,23.4,4.8,1
S421,86.3,80.9,78.3,4.8,62.5,69.8,85.8,8.9,0
S290,81.2,72.9,91.0,2.0,92.3,69.3,74.1,8.3,0
S445,87.5,78.5,58.8,2.7,76.7,59.9,82.7,6.6,0
S377,95.7,55.0,90.1,5.8,69.8,63.5,53.2,8.0,0
S292,97.1,56.2,62.3,3.2,78.8,50.7,67.1,6.6,0
S356,84.0,79.5,63.8,4.6,55.0,65.2,90.0,6.8,0
S295,100.0,76.6,77.6,2.5,55.0,76.3,69.4,7.0,0
S397,67.6,78.8,66.2,3.3,81.5,76.4,87.7,8.4,0
S341,79.2,80.5,75.2,3.1,70.9,67.9,77.7,6.4,0
S113,55.9,55.1,34.2,1.6,65.0,56.4,19.2,5.1,1
S180,92.0,93.4,55.8,4.3,76.5,72.3,64.9,6.9,0
S308,85.2,72.5,69.8,5.5,89.6,73.1,67.7,5.0,0
S433,95.2,68.7,69.8,4.2,71.6,50.5,85.0,7.9,0
S488,60.3,69.9,53.7,2.2,61.1,70.5,76.5,6.5,0
S482,88.7,65.3,67.6,3.6,78.9,56.5,72.1,8.6,0
S423,91.9,81.6,88.8,4.1,55.0,80.8,84.1,6.7,0
S234,94.9,82.6,68.1,3.8,62.7,60.8,69.3,7.1,0
S312,87.1,83.1,54.9,4.7,93.0,76.6,90.4,7.4,0
S165,69.5,41.2,35.9,1.9,44.6,58.6,35.6,4.6,1
S137,43.3,61.2,34.9,1.1,65.0,47.6,25.3,6.2,1
S198,78.4,80.0,73.1,2.8,63.4,68.6,89.4,7.3,0
S259,78.0,59.2,79.1,4.6,63.6,76.5,70.8,7.3,0
S233,85.8,60.0,79.7,4.0,66.4,52.3,73.5,5.0,0
S116,59.5,45.5,40.9,1.2,34.2,47.7,65.0,5.7,1
S121,66.9,39.7,40.1,1.3,45.8,41.3,51.4,3.7,1
S350,86.7,72.0,64.2,6.5,73.7,76.4,65.0,5.6,0
S225,82.2,67.6,81.8,2.2,72.0,64.7,67.1,6.4,0
S403,94.8,65.9,58.2,3.2,76.1,78.4,64.3,8.7,0
S398,91.2,74.7,63.9,4.3,72.1,64.7,75.8,7.7,0
S128,46.5,57.0,48.4,1.3,45.7,45.8,38.5,6.1,1
S286,70.6,78.6,58.7,5.0,72.8,76.4,92.3,6.4,0
S412,72.4,77.9,81.4,2.6,68.0,72.5,63.7,7.2,0
S108,57.6,65.0,29.5,1.4,46.3,32.4,65.0,5.2,1
S371,71.9,55.2,73.3,4.0,100.0,61.5,75.8,5.6,0
S326,81.0,89.0,93.7,4.6,68.5,64.5,86.2,8.2,0
S134,62.1,54.6,46.8,1.7,42.8,58.6,16.4,3.7,1
S453,97.2,67.1,67.4,4.6,65.5,74.2,81.2,9.0,0
S045,32.8,49.0,60.5,1.2,58.2,47.5,51.0,7.0,1
S461,93.9,58.9,78.9,2.6,64.4,60.2,75.2,6.3,0
S066,75.0,38.5,33.5,1.6,43.6,28.4,45.5,6.0,1
S284,82.9,77.9,87.4,3.1,83.2,86.9,72.2,5.8,0
S086,47.5,36.9,45.0,2.0,65.0,53.4,54.5,5.5,1
S243,85.9,73.4,60.1,2.4,78.5,71.1,74.5,7.3,0
S187,87.6,64.5,70.4,3.7,89.3,68.6,51.8,9.0,0
S384,85.2,73.9,50.0,5.5,69.5,91.1,70.6,6.1,0
S160,64.8,59.7,32.4,0.5,59.6,38.7,65.0,6.4,1
S013,58.6,47.1,42.5,1.2,45.5,40.3,57.2,4.8,1
S036,36.7,54.9,46.1,1.7,57.7,41.0,46.5,6.2,1
S029,46.0,60.6,65.0,1.7,45.5,61.6,62.5,5.9,1
S171,41.7,50.8,20.6,1.3,49.9,56.5,22.2,5.7,1
S143,30.9,44.3,45.1,2.7,38.5,38.7,31.0,4.4,1
S399,75.3,86.3,72.4,5.4,73.4,74.3,74.3,7.4,0
S343,87.2,70.6,71.2,3.7,65.1,94.8,77.1,8.0,0
S222,76.7,92.0,80.0,5.4,76.4,89.0,78.1,8.7,0
S096,33.0,65.0,53.4,0.9,64.6,46.7,40.2,5.6,1
S052,49.2,48.8,35.6,1.7,35.8,37.7,5.0,7.0,1
S241,87.9,56.2,65.8,6.1,82.2,53.8,70.2,6.3,0
S485,72.3,85.6,76.9,4.4,69.3,86.0,98.6,7.2,0
S379,74.0,86.0,71.9,4.3,77.3,79.8,100.0,5.5,0
S179,89.2,78.7,68.4,3.5,84.2,66.9,72.9,8.2,0
S042,57.6,38.7,50.9,0.0,36.6,52.9,39.4,5.4,1
S499,88.2,71.7,78.0,4.7,85.5,78.8,81.8,8.6,0
S422,80.1,55.0,77.0,4.9,74.9,63.3,60.3,7.2,0
S207,90.2,73.6,79.2,2.4,90.9,66.4,86.3,6.5,0
S283,91.6,84.5,68.2,6.4,65.7,54.7,67.5,6.0,0
S255,77.6,57.0,80.6,4.8,78.8,64.7,85.2,6.3,0
S413,86.2,80.2,69.0,3.8,71.7,63.0,61.0,8.0,0
S005,51.5,65.0,43.7,0.8,33.3,60.4,31.7,7.0,1
S257,78.3,77.7,72.2,3.3,67.5,59.1,88.2,7.1,0
S449,72.8,73.4,92.1,4.0,93.9,60.5,72.6,6.7,0
S101,33.8,53.5,43.1,1.1,63.3,20.4,25.1,3.1,1
S227,99.0,68.9,61.2,4.7,89.7,79.8,78.8,7.5,0
S430,85.4,79.1,95.9,3.4,64.5,77.5,81.4,7.2,0
S214,86.9,59.0,66.6,2.9,89.5,66.7,82.3,5.0,0
S172,42.8,30.6,51.6,1.8,42.4,53.5,44.6,3.9,1
S099,55.1,48.1,36.8,2.6,52.3,36.5,63.9,6.1,1
S293,88.3,69.5,56.9,3.4,77.7,71.0,73.6,7.3,0
S216,88.6,66.6,75.9,4.3,78.1,75.2,53.1,6.8,0
S062,52.2,23.7,28.3,1.1,53.5,31.7,43.3,3.3,1
S048,70.9,56.2,63.0,1.8,42.9,46.7,10.0,4.2,1
S033,54.8,54.2,14.3,1.2,56.9,54.7,35.2,6.0,1
S268,76.4,67.8,74.1,4.0,69.9,64.4,73.7,8.3,0
S328,73.2,72.9,80.6,4.7,63.0,67.0,72.5,7.5,0
S201,62.3,55.0,68.2,3.1,74.0,58.3,59.7,8.1,0
S447,78.3,74.7,81.3,3.6,73.3,88.8,76.2,7.5,0
S028,60.6,61.0,46.6,2.4,56.2,45.4,33.6,3.1,1
S425,100.0,74.8,54.0,4.5,57.7,62.8,69.3,6.7,0
S231,64.4,60.9,91.7,4.7,69.5,84.0,50.0,7.9,0
S261,91.3,70.2,65.1,4.1,70.5,60.4,82.7,7.3,0
S289,63.3,74.7,85.7,4.0,70.8,76.7,84.3,7.2,0
